"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",-1.12842813788371,0.321581944545425,5,5,0.251603951045644,0.43900925841823
"U87.001712",-1.51755904161056,0.197965423007889,5,5,0.504585989737555,0.602393379920335
"Y1.001727",-0.00826732347099218,0.993613229453121,5,5,0.99323382338856,1.01695329305526
"mmu.let.7b.000378",-0.06450418118822,0.950159223713472,5,5,0.979235543312918,0.952132738151095
"mmu.let.7c.000379",0.319021039122567,0.758620532172299,5,5,1.07656538201177,1.11188610986797
"mmu.let.7d.002283",-1.03812529304244,0.340407462680569,5,5,0.825447377067899,0.849726592615983
"mmu.let.7e.002406",-0.943480724075652,0.393072483837828,5,5,0.60612432522204,0.831810165275577
"mmu.let.7g.002282",-0.553017318996169,0.604594499140728,5,5,0.817411925131885,1.05126881427833
"mmu.let.7i.002221",-0.234499837788159,0.820605880693833,5,5,0.92139483282304,0.956466550381389
"mmu.miR.100.000437",0.632289159108176,0.563043677609854,4,4,1.37894373280591,1.08171678189404
"mmu.miR.101a.002253",-0.0842365565755841,0.935300484398692,5,5,0.969930081085042,1.04174618666207
"mmu.miR.103.000439",-0.668442275379895,0.53227700118709,5,5,0.689406054244293,1.15140151723241
"mmu.miR.106a.002459",-1.44982484376945,0.185622236009856,5,5,0.649915570795451,0.600319077273602
"mmu.miR.106b.000442",0.24080041889362,0.815884493304455,5,5,1.09546062479416,1.14642519459968
"mmu.miR.10a.000387",-0.447597731224383,0.666650878535578,5,5,0.928729241885044,0.914048625542714
"mmu.miR.10b.002218",0.512612306550988,0.631125945354386,4,4,1.32633327388,1.22148015025838
"mmu.miR.124.001182",0.239907245204487,0.829557158758512,3,2,1.18164178916735,1.01448627670889
"mmu.miR.125a.5p.002198",0.456332157602103,0.668366716177828,5,5,1.37201722922232,0.556553472085136
"mmu.miR.125b.5p.000449",0.0681375255119901,0.947797002647405,4,5,1.03656025227554,1.3966199119481
"mmu.miR.126.3p.002228",0.942106781351732,0.42937024330898,3,3,2.23400887395383,1.86868168350017
"mmu.miR.128a.002216",0.965586679533208,0.397560719070148,3,3,1.78995549620349,1.77779169498532
"mmu.miR.130a.000454",-1.61265559637711,0.174149479956188,5,4,0.428320364102979,0.378597184259346
"mmu.miR.130b.000456",-0.0916493162306419,0.933262541726735,5,3,0.949415838766465,1.13134002896107
"mmu.miR.139.5p.002289",-1.52537722314735,0.18633094552417,5,5,0.837315176993074,0.81655287876539
"mmu.miR.140.001187",0.996903011783418,0.374091808114199,5,4,1.51408327894538,1.29517208451419
"mmu.miR.141.000463",0.164008347351901,0.874150278916492,5,5,1.03486520208538,1.07543268231308
"mmu.miR.142.3p.000464",-0.795251503116478,0.551378611808694,3,2,0.53309673408262,0.56100385089193
"mmu.miR.145.002278",1.07166956402898,0.357063407012653,4,3,2.55461977025293,1.38912329518117
"mmu.miR.146a.000468",0.860156345324129,0.422553570018955,5,5,1.27790414594329,1.23711929087379
"mmu.miR.146b.001097",-0.710126836779422,0.497892526547327,5,5,0.784775989080654,0.744619560490534
"mmu.miR.148a.000470",0.239829445215893,0.817370655011536,5,5,1.11460561321947,1.45462575026249
"mmu.miR.148b.000471",1.30118529780764,0.262670183297386,2,5,1.35775866054887,1.60979788433544
"mmu.miR.151.3p.001190",-0.81027935820827,0.45808575023068,5,4,0.682047799672297,0.696164494215997
"mmu.miR.152.000475",1.57971894988209,0.169785272892565,5,5,1.84644698289214,1.77681911947345
"mmu.miR.155.002571",0.83767249953588,0.437560090670138,5,5,1.46816101623124,1.26985240196768
"mmu.miR.15b.000390",-0.709666461290523,0.50176051788565,5,5,0.902249473967214,0.915461183569693
"mmu.miR.16.000391",-0.996603773818308,0.355291938965841,5,5,0.805476569108794,0.751189717878731
"mmu.miR.17.002308",-1.72760069532323,0.128082395944208,5,5,0.62224490577649,0.532396215411669
"mmu.miR.181a.000480",-1.36755051987439,0.24098792410738,5,5,0.596552673603331,0.706101173507622
"mmu.miR.181c.000482",-0.867317493146001,0.432490171402086,5,5,0.366740472149012,0.747146803782571
"mmu.miR.182.002599",-0.251179677444276,0.810399571564214,5,5,0.969397995108701,0.986373004361665
"mmu.miR.183.002269",-1.27313771469177,0.24150565360282,5,5,0.676846933365155,0.683628106982752
"mmu.miR.186.002285",0.782443930961598,0.464526488796472,5,5,1.26550091032809,1.02110273155101
"mmu.miR.188.5p.002320",0.397066048764995,0.704785146598378,5,4,1.22307757970695,1.29085996026527
"mmu.miR.18a.002422",-1.5036587159522,0.177280197738853,5,5,0.631119815633561,0.599489596864924
"mmu.miR.191.002299",-1.46381522006247,0.21239461983319,5,5,0.468355336382039,0.545812757447709
"mmu.miR.192.000491",-0.799303566690733,0.447263194679567,5,5,0.854336855948269,0.83330620082238
"mmu.miR.193b.002467",-0.93434791209286,0.381370853966438,5,5,0.762997387286667,0.756734235426418
"mmu.miR.194.000493",-0.380699107020639,0.713492727533505,5,5,0.95041660583514,0.952804294263715
"mmu.miR.195.000494",-1.24989695513333,0.248485517751919,5,5,0.789350088864981,0.7579235399766
"mmu.miR.196b.002215",-0.339804052403363,0.746176051720506,5,5,0.885994812735341,0.679169143281666
"mmu.miR.19a.000395",-1.7224716150577,0.126628253889798,5,5,0.556664306677216,0.535295273983938
"mmu.miR.19b.000396",-0.433731917301062,0.676785042318274,5,5,0.907691967509477,0.937044859091222
"mmu.miR.200a.000502",-0.351248841092601,0.734792095509413,5,5,0.933453855275327,0.919250665288355
"mmu.miR.200b.002251",-0.901876402017336,0.397065338116523,5,5,0.813799202872583,0.77880908602657
"mmu.miR.200c.002300",-0.432007107779076,0.677295157633205,5,5,0.834249839520713,0.786072901017482
"mmu.miR.203.000507",0.702960584519286,0.503921785215663,5,5,1.12140276520618,1.11564576431118
"mmu.miR.205.000509",-1.20573662055367,0.28456306544377,5,5,0.661238458473194,0.745443348479508
"mmu.miR.20a.000580",0.801900629815376,0.445867287681343,5,5,1.12111073949829,1.13159446156743
"mmu.miR.20b.001014",-1.77443064927745,0.122429119174021,5,5,0.57262070670239,0.545451951295824
"mmu.miR.21.000397",1.39972228004829,0.199220428580794,5,5,1.60091094726543,1.94924417167387
"mmu.miR.215.001200",-1.41847152511664,0.204553028464179,5,5,0.804443297194029,0.777014389198666
"mmu.miR.218.000521",0.543459575550037,0.601901052545623,5,5,1.12601534788085,1.15046908840892
"mmu.miR.222.002276",-0.558751143963622,0.591780980333603,5,5,0.828402151475458,0.719092675872067
"mmu.miR.224.002553",-0.659342304666036,0.53071017641836,5,5,0.826508613704892,0.880155428424393
"mmu.miR.23b.000400",0.128599000512966,0.900860490764768,5,5,1.034431450981,1.05301852809305
"mmu.miR.24.000402",-0.402128738910101,0.699106522426665,5,5,0.93499057817326,0.953494433075321
"mmu.miR.25.000403",0.14358944362476,0.889518337045035,5,5,1.10436669303398,0.985387598875993
"mmu.miR.26a.000405",0.367049353080593,0.723118666479134,5,5,1.06629298047225,1.07399466035799
"mmu.miR.26b.000407",0.109788948744215,0.915884585605023,5,5,1.03103120411278,0.94973901178858
"mmu.miR.27a.000408",-0.135280097734372,0.896294632865816,5,4,0.928344947931414,0.631457954188177
"mmu.miR.27b.000409",1.36357216680474,0.209897918060332,5,5,1.55697451339933,1.73485179388332
"mmu.miR.28.000411",-1.34187511312306,0.235716096656353,5,5,0.562439231016453,0.639571882575382
"mmu.miR.29a.002112",-0.999814039214382,0.373980748284418,5,5,0.00372415506453953,0.236121124189037
"mmu.miR.29b.000413",1.49691547838061,0.186150326723825,5,3,2.21112063242355,2.23075663685311
"mmu.miR.29c.000587",0.815356766030299,0.450081329840508,5,5,1.180613381957,1.1200416804485
"mmu.miR.301a.000528",-0.908949369828174,0.394485035628785,5,5,0.882007845071046,0.893684942008321
"mmu.miR.301b.002600",-1.67673897916357,0.135947812733218,5,5,0.597067461363327,0.575805558182595
"mmu.miR.30a.000417",0.0271412021197084,0.97911620931574,5,5,1.00476609208254,0.978379052575891
"mmu.miR.30b.000602",-0.541477813291218,0.611961998057311,5,5,0.860293352134227,0.925558074627127
"mmu.miR.30c.000419",-0.362185459113662,0.727333427032119,5,5,0.939722596930452,0.921342469269356
"mmu.miR.30d.000420",-1.32016505435724,0.223891805463382,5,5,0.619281092203688,0.587186628848542
"mmu.miR.30e.002223",-0.998774434755628,0.354391800008828,5,5,0.700933730480161,0.701072728581508
"mmu.miR.31.000185",0.233738712867483,0.821121156293731,5,5,1.09574026257679,1.1346881259111
"mmu.miR.320.002277",-0.529066292502237,0.622191916519016,5,5,0.801500166157352,0.95787401402076
"mmu.miR.322.001076",0.214952445660116,0.85872767715562,2,4,1.2326744303559,0.854891172327171
"mmu.miR.324.5p.000539",NA,NA,NA,NA,NA,NA
"mmu.miR.328.000543",-0.0876102643205941,0.932390885198905,5,5,0.969865626077078,0.955443998799228
"mmu.miR.331.3p.000545",-1.84295333433077,0.108837271831261,5,5,0.725185166103136,0.727127578550187
"mmu.miR.340.3p.002259",-2.3927534174811,0.0494007693494616,5,5,0.609796618937987,0.55152157088369
"mmu.miR.340.5p.002258",0.572533224440999,0.648911154130323,2,4,1.73893092059114,1.65776502010554
"mmu.miR.342.3p.002260",-0.918407219348414,0.405026964420789,5,5,0.459758970603553,0.596599974642247
"mmu.miR.34b.3p.002618",0.145415559412001,0.893702572439426,2,3,1.14281780060045,2.37947802085082
"mmu.miR.365.001020",-1.67312739174591,0.134714822588503,5,5,0.589349060936388,0.562785327197157
"mmu.miR.375.000564",-0.693816725422991,0.519048452837548,5,5,0.860459456984669,0.904549663922732
"mmu.miR.423.5p.002340",-0.195696044626897,0.852813780519932,3,4,0.900070589858713,1.1785890025423
"mmu.miR.429.001077",0.0902888368468123,0.932756911120496,3,4,1.04870506372797,1.04506091048332
"mmu.miR.484.001821",-1.58232332100825,0.178604998655533,5,5,0.430354894508429,0.470023117518466
"mmu.miR.532.3p.002355",2.09326420239966,0.0739006015666133,5,5,2.95856290712327,4.69552222036476
"mmu.miR.532.5p.001518",0.573295754619031,0.582581769052228,5,5,1.3984603696599,1.27883029776211
"mmu.miR.574.3p.002349",-1.41363784469191,0.214037920897001,5,5,0.480462935227752,0.465235219012108
"mmu.miR.652.002352",-0.0204159393449991,0.984730359557979,5,4,0.992831250708358,1.14509988015071
"mmu.miR.671.3p.002322",-2.04423624750565,0.10640452598027,3,5,0.333092833519855,0.378863517662929
"mmu.miR.744.002324",-3.62681447905786,0.0123043370818575,5,5,0.518740160786091,0.519754346010563
"mmu.miR.7b.002555",-2.13060496553064,0.0756711167130997,5,5,0.318039624875572,0.225668162972225
"mmu.miR.872.002264",-0.777234864913419,0.467845630257085,5,5,0.610130059077214,0.883101469820302
"mmu.miR.92a.000430",-1.59738635276781,0.149126070223834,5,5,0.728069870279991,0.708252954828304
"mmu.miR.93.001090",-1.28945807628541,0.257858332479452,5,5,0.610535483249835,0.724027911845871
"mmu.miR.99a.000435",0.411951146519134,0.699107394136647,4,5,1.25732846479428,1.10615836176397
"mmu.miR.99b.000436",-0.169778737581909,0.869466486966917,5,5,0.938268580389922,0.975577248197606
"rno.miR.190b.002048",-0.120236411431573,0.907265408948597,5,5,0.96245438245169,0.919989385153329
"rno.miR.196c.002049",-0.192479279092138,0.852346519207486,5,5,0.95943151938393,0.975628643872355
"rno.miR.224.000599",0.251109714195886,0.808059556770234,5,5,1.11096658437737,1.13505107671444
"rno.miR.345.3p.002061",1.71368494626067,0.139982366276737,5,5,1.94577909712677,1.86210086383912
"snoRNA135.001230",-1.42022872072261,0.217316572154778,5,5,0.595442377889474,0.664537823410494
"snoRNA202.001232",-2.24086907420741,0.080416401365287,5,5,0.395234624535399,0.452271383540325
